,C++,C++,C++,Python,Python,Python
,Energy (J),Time (ms),Ratio (J/ms),Energy (J),Time (ms),Ratio (J/ms)
Benchmark,,,,,,
binary-trees,41.2535,1107.69,0.0372,1794.4292,44837.1667,0.04
fannkuch-redux,219.9114,6116.3317,0.036,12788.5563,279542.1667,0.0457
fasta,34.9442,1152.8617,0.0303,1059.2833,74059.35,0.0143
k-nucleotide,111.0953,3813.7333,0.0291,1600.7657,38924.9833,0.0411
mandelbrot,32.4391,857.4528,0.0378,7785.6985,162831.0,0.0478
n-body,57.2854,3770.265,0.0152,7873.794,558883.3333,0.0141
regex-redux,175.4208,10610.1833,0.0165,161.6345,7126.69,0.0227
reverse-complement,6.1642,222.5423,0.0277,32.2637,1492.6883,0.0216
spectral-norm,17.2266,665.4602,0.0259,6422.2014,137717.1667,0.0466
