,C++,C++,C++,Python,Python,Python
,Energy (J),Time (ms),Ratio (J/ms),Energy (J),Time (ms),Ratio (J/ms)
Benchmark,,,,,,
binary-trees,28.4192,1150.0067,0.0247,590.902,18447.9333,0.032
fannkuch-redux,167.2816,4883.8133,0.0343,4683.0739,121483.6667,0.0385
fasta,19.9725,1051.38,0.019,316.3134,37732.3333,0.0084
k-nucleotide,47.6242,1927.1833,0.0247,789.2373,21337.2333,0.037
mandelbrot,16.5054,474.8045,0.0348,2972.774,71633.8667,0.0415
n-body,19.6911,2752.8617,0.0072,2237.4182,282761.5,0.0079
regex-redux,103.783,10617.2333,0.0098,88.5848,7254.045,0.0122
reverse-complement,3.929,315.8377,0.0124,19.9581,1779.23,0.0112
spectral-norm,5.7504,218.009,0.0264,1855.2489,80125.95,0.0232
